instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
medium,4096,cuda_optimized,45,0.223073,Yes,3067,52.9326,2372.43,1.11408,18.0271,13.5254,0.127833,0.223073,0.0952
medium,4096,cuda_optimized,46,0.219957,Yes,1782,29.2973,1326.28,1.28717,11.5841,12.6221,0.128382,0.219957,0.0916
medium,4096,cuda_optimized,47,0.223704,Yes,2220,38.3337,1707.68,1.49824,15.033,11.8652,0.127546,0.223704,0.0962
medium,4096,cuda_optimized,48,0.220541,Yes,1910,32.6732,1441.45,1.3401,11.6242,13.2324,0.135012,0.220541,0.0855
medium,4096,cuda_optimized,49,0.223865,Yes,2969,51.8971,2321.15,1.29808,18.2755,13.5254,0.129678,0.223865,0.0942
medium,4096,cuda_optimized,50,0.224602,Yes,2914,51.1042,2274.96,1.30141,17.7725,14.3311,0.130389,0.224602,0.0942
medium,4096,cuda_optimized,51,0.224233,Yes,3004,52.579,2340.72,1.2679,19.7037,12.2314,0.129036,0.224233,0.0952
large,512,sequential,42,0.207167,Yes,147882,0.0688766,0.207167,0.1383
large,512,sequential,43,0.207244,Yes,147902,0.0689471,0.207244,0.1383
large,512,sequential,44,0.207751,Yes,147963,0.0733221,0.207751,0.1344
large,512,sequential,45,0.206567,Yes,147582,0.0701813,0.206567,0.1364
large,512,sequential,46,0.206776,Yes,121313,0.0700146,0.206776,0.1368
large,512,sequential,47,0.207128,Yes,147716,0.0704741,0.207128,0.1367
large,512,sequential,48,0.206839,Yes,132005,0.0688985,0.206839,0.1379
large,512,sequential,49,0.206929,Yes,147574,0.0698428,0.206929,0.1371
large,512,sequential,50,0.207901,Yes,147600,0.0703692,0.207901,0.1375
large,512,sequential,51,0.207981,Yes,147957,0.0700452,0.207981,0.1379
large,512,cuda_basic,42,0.194346,Yes,56657,365.077,55948.5,1.56061,15.7487,4.6875,0.111246,0.194346,0.0831
large,512,cuda_basic,43,0.1947,Yes,63304,404.911,62592.5,1.50154,17.6859,5.27344,0.114361,0.1947,0.0803
large,512,cuda_basic,44,0.192947,Yes,47196,305.037,46624.8,1.49488,13.7015,5.85938,0.111833,0.192947,0.0811
large,512,cuda_basic,45,0.193705,Yes,67789,431.614,67040.4,1.56352,19.7354,5.46875,0.111971,0.193705,0.0817
large,512,cuda_basic,46,0.192846,Yes,51708,334.042,51102.5,1.50397,14.6604,6.44531,0.113222,0.192846,0.0796
large,512,cuda_basic,47,0.1936,Yes,64735,412.84,64019.4,1.77136,18.0641,5.27344,0.111885,0.1936,0.0817
large,512,cuda_basic,48,0.194212,Yes,66684,429.947,65958.8,1.47718,19.7104,5.07812,0.111259,0.194212,0.083
large,512,cuda_basic,49,0.192581,Yes,45625,298.504,45068.1,1.45776,12.7896,5.46875,0.111927,0.192581,0.0807
large,512,cuda_basic,50,0.193807,Yes,67368,431.769,66631.9,1.46637,19.4293,5.66406,0.112798,0.193807,0.081
large,512,cuda_basic,51,0.193522,Yes,67982,435.414,67243.5,1.44605,19.5623,5.07812,0.111916,0.193522,0.0816
large,512,cuda_optimized,42,0.194346,Yes,70570,367.156,69916.2,1.50525,14.3716,4.6875,0.111246,0.194346,0.0831
large,512,cuda_optimized,43,0.1947,Yes,78584,408.47,77842.7,1.48502,16.0138,5.27344,0.114361,0.1947,0.0803
large,512,cuda_optimized,44,0.192947,Yes,58226,306.094,57654.9,1.48336,12.4443,5.85938,0.111833,0.192947,0.0811
large,512,cuda_optimized,45,0.193705,Yes,84712,436.83,83950.1,1.49798,18.6995,5.46875,0.111971,0.193705,0.0817
large,512,cuda_optimized,46,0.192846,Yes,64743,339.34,64114.8,1.53763,13.4391,6.44531,0.113222,0.192846,0.0796
large,512,cuda_optimized,47,0.1936,Yes,82360,424.326,81433.1,1.60669,19.1749,5.27344,0.111885,0.1936,0.0817
large,512,cuda_optimized,48,0.194212,Yes,86372,451.056,85596.8,1.50986,17.8651,5.07812,0.111259,0.194212,0.083
large,512,cuda_optimized,49,0.192581,Yes,56955,300.828,56378.8,1.58403,12.249,5.46875,0.111927,0.192581,0.0807
large,512,cuda_optimized,50,0.193807,Yes,83803,431.967,83048.2,1.51014,17.0522,5.66406,0.112798,0.193807,0.081
